AgentID,Zone,CPU(%),RAM(%),RAM(GB),Disk(%),Disk(GB),Status,Time
Lab301-PC01,Lab-301,57.81,64.89,20.00,69.09,344.00,🟢 Online,20:38:33
Lab301-PC02,Lab-301,68.56,33.79,8.00,49.30,956.00,🔴 Offline,20:38:33
Lab301-PC03,Lab-301,56.82,51.78,12.00,74.51,362.00,🟢 Online,20:38:33
Lab302-PC01,Lab-302,65.58,80.62,21.00,66.95,596.00,🟢 Online,20:38:33
Lab302-PC02,Lab-302,63.58,32.85,25.00,27.24,651.00,🔴 Offline,20:38:33
Lab303-PC01,Lab-303,48.42,56.71,12.00,51.29,175.00,🟢 Online,20:38:33
Lab303-PC02,Lab-303,32.90,89.22,14.00,55.03,597.00,🔴 Offline,20:38:33
Lab303-PC03,Lab-303,75.46,73.68,29.00,74.38,787.00,🟢 Online,20:38:33
Lab303-PC04,Lab-303,9.69,85.35,21.00,77.91,281.00,🟢 Online,20:38:33
ServerRoom-PC01,Server-Room,75.69,70.45,13.00,65.40,838.00,🟢 Online,20:38:33
ServerRoom-PC02,Server-Room,26.23,56.13,22.00,32.41,547.00,🔴 Offline,20:38:33
ServerRoom-PC03,Server-Room,29.16,86.49,31.00,31.01,820.00,🟢 Online,20:38:33
ServerRoom-PC04,Server-Room,88.22,53.59,23.00,58.53,986.00,🟢 Online,20:38:33
ServerRoom-PC05,Server-Room,44.45,74.49,20.00,52.73,260.00,🟢 Online,20:38:33
OfficeA-PC01,Office-A,17.34,66.53,17.00,62.77,757.00,🟢 Online,20:38:33
OfficeA-PC02,Office-A,64.99,24.74,11.00,48.45,615.00,🟢 Online,20:38:33
OfficeA-PC03,Office-A,20.65,53.26,13.00,54.51,111.00,🟢 Online,20:38:33
OfficeB-PC01,Office-B,62.78,69.14,32.00,84.18,348.00,🟢 Online,20:38:33
OfficeB-PC02,Office-B,11.09,35.49,19.00,43.19,515.00,🟢 Online,20:38:33
OfficeB-PC03,Office-B,37.90,57.49,32.00,29.43,244.00,🟢 Online,20:38:33
OfficeB-PC04,Office-B,15.68,46.80,10.00,67.11,507.00,🟢 Online,20:38:33
OfficeB-PC05,Office-B,40.12,32.05,25.00,83.73,461.00,🟢 Online,20:38:33
