Timestamp,Agent ID,Zone,CPU(%),RAM(%),Total RAM(GB),Disk(%),Total Disk(GB),Free Disk(GB)
1762186982070,Quang,Lab-301,-100.00,70.70,15.74,27.28,100.00,72.72
1762186983067,Quang,Lab-301,-100.00,70.42,15.74,27.28,100.00,72.72
1762186984082,Quang,Lab-301,-100.00,69.80,15.74,27.28,100.00,72.72
1762186985129,Quang,Lab-301,-100.00,70.40,15.74,27.28,100.00,72.72
1762186986150,Quang,Lab-301,-100.00,70.56,15.74,27.28,100.00,72.72
1762186987156,Quang,Lab-301,-100.00,70.72,15.74,27.28,100.00,72.72
1762186988158,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762186989146,Quang,Lab-301,-100.00,71.51,15.74,27.28,100.00,72.72
1762186990210,Quang,Lab-301,-100.00,70.77,15.74,27.28,100.00,72.72
1762186991201,Quang,Lab-301,-100.00,70.53,15.74,27.28,100.00,72.72
1762186992219,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186993222,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186994240,Quang,Lab-301,-100.00,70.47,15.74,27.28,100.00,72.72
1762186995253,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186996248,Quang,Lab-301,-100.00,70.51,15.74,27.28,100.00,72.72
1762186997262,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186998274,Quang,Lab-301,-100.00,70.50,15.74,27.28,100.00,72.72
1762186999306,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187000275,Quang,Lab-301,-100.00,70.40,15.74,27.28,100.00,72.72
1762187001292,Quang,Lab-301,-100.00,70.38,15.74,27.28,100.00,72.72
1762187002327,Quang,Lab-301,-100.00,70.66,15.74,27.28,100.00,72.72
1762187003366,Quang,Lab-301,-100.00,70.81,15.74,27.28,100.00,72.72
1762187004362,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762187005353,Quang,Lab-301,-100.00,70.83,15.74,27.28,100.00,72.72
1762187006374,Quang,Lab-301,-100.00,70.84,15.74,27.28,100.00,72.72
1762187007367,Quang,Lab-301,-100.00,70.93,15.74,27.28,100.00,72.72
1762187008402,Quang,Lab-301,-100.00,70.91,15.74,27.28,100.00,72.72
1762187009418,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187010401,Quang,Lab-301,-100.00,70.68,15.74,27.28,100.00,72.72
1762187011422,Quang,Lab-301,-100.00,70.65,15.74,27.28,100.00,72.72
1762187012432,Quang,Lab-301,-100.00,70.32,15.74,27.28,100.00,72.72
1762187013450,Quang,Lab-301,-100.00,70.17,15.74,27.28,100.00,72.72
1762187014454,Quang,Lab-301,-100.00,70.14,15.74,27.28,100.00,72.72
1762187015443,Quang,Lab-301,-100.00,69.95,15.74,27.28,100.00,72.72
1762187016464,Quang,Lab-301,-100.00,69.93,15.74,27.28,100.00,72.72
1762187017477,Quang,Lab-301,-100.00,69.94,15.74,27.28,100.00,72.72
1762187018469,Quang,Lab-301,-100.00,69.94,15.74,27.28,100.00,72.72
1762187019482,Quang,Lab-301,-100.00,69.95,15.74,27.28,100.00,72.72
1762187020504,Quang,Lab-301,-100.00,69.92,15.74,27.28,100.00,72.72
1762187021502,Quang,Lab-301,-100.00,69.92,15.74,27.28,100.00,72.72
1762187022487,Quang,Lab-301,-100.00,70.04,15.74,27.28,100.00,72.72
1762187023504,Quang,Lab-301,-100.00,70.07,15.74,27.28,100.00,72.72
1762187024515,Quang,Lab-301,-100.00,70.49,15.74,27.28,100.00,72.72
1762187025526,Quang,Lab-301,-100.00,70.49,15.74,27.28,100.00,72.72
1762187026530,Quang,Lab-301,-100.00,71.08,15.74,27.28,100.00,72.72
1762187027555,Quang,Lab-301,-100.00,71.40,15.74,27.28,100.00,72.72
1762187028569,Quang,Lab-301,-100.00,71.43,15.74,27.28,100.00,72.72
1762187029549,Quang,Lab-301,-100.00,71.08,15.74,27.28,100.00,72.72
1762187030570,Quang,Lab-301,-100.00,70.95,15.74,27.28,100.00,72.72
1762187031590,Quang,Lab-301,-100.00,71.22,15.74,27.28,100.00,72.72
1762187032584,Quang,Lab-301,-100.00,71.04,15.74,27.28,100.00,72.72
1762187033595,Quang,Lab-301,-100.00,70.80,15.74,27.28,100.00,72.72
1762187034594,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187035642,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187036667,Quang,Lab-301,-100.00,70.74,15.74,27.28,100.00,72.72
1762187037667,Quang,Lab-301,-100.00,70.68,15.74,27.28,100.00,72.72
1762187038666,Quang,Lab-301,-100.00,70.64,15.74,27.28,100.00,72.72
1762187039654,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187040658,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187041674,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187042648,Quang,Lab-301,-100.00,70.46,15.74,27.28,100.00,72.72
1762187043692,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187044690,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187045700,Quang,Lab-301,-100.00,70.52,15.74,27.28,100.00,72.72
1762187046697,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187047723,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187048721,Quang,Lab-301,-100.00,70.53,15.74,27.28,100.00,72.72
1762187049738,Quang,Lab-301,-100.00,70.54,15.74,27.28,100.00,72.72
1762187050751,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187051752,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187052777,Quang,Lab-301,-100.00,70.63,15.74,27.28,100.00,72.72
1762187053784,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187054738,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187055785,Quang,Lab-301,-100.00,70.60,15.74,27.28,100.00,72.72
1762187056784,Quang,Lab-301,-100.00,70.58,15.74,27.28,100.00,72.72
1762187057813,Quang,Lab-301,-100.00,70.59,15.74,27.28,100.00,72.72
1762187058798,Quang,Lab-301,-100.00,70.57,15.74,27.28,100.00,72.72
1762187059799,Quang,Lab-301,-100.00,70.57,15.74,27.28,100.00,72.72
1762187060846,Quang,Lab-301,-100.00,70.63,15.74,27.28,100.00,72.72
1762187061852,Quang,Lab-301,-100.00,70.55,15.74,27.28,100.00,72.72
1762187062834,Quang,Lab-301,-100.00,70.75,15.74,27.28,100.00,72.72
1762187063849,Quang,Lab-301,-100.00,70.76,15.74,27.28,100.00,72.72
1762187064867,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187065873,Quang,Lab-301,-100.00,70.77,15.74,27.28,100.00,72.72
1762187066893,Quang,Lab-301,-100.00,70.73,15.74,27.28,100.00,72.72
1762187067922,Quang,Lab-301,-100.00,70.78,15.74,27.28,100.00,72.72
1762187068902,Quang,Lab-301,-100.00,71.10,15.74,27.28,100.00,72.72
1762187069903,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187070891,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187071926,Quang,Lab-301,-100.00,71.42,15.74,27.28,100.00,72.72
1762187072925,Quang,Lab-301,-100.00,71.48,15.74,27.28,100.00,72.72
1762187073904,Quang,Lab-301,-100.00,71.53,15.74,27.28,100.00,72.72
