Timestamp,Date Time,Agent ID,Zone,CPU(%),RAM(%),Total RAM(GB),Disk(%),Total Disk(GB),Free Disk(GB)
1762252373834,2025-11-04 17:32:53,Quang,Lab-301,13.81,72.96,15.74,58.64,476.01,196.88
1762252374714,2025-11-04 17:32:54,Quang,Lab-301,3.10,73.20,15.74,58.64,476.01,196.88
1762252384232,2025-11-04 17:33:04,Quang,Lab-301,14.58,72.06,15.74,58.64,476.01,196.88
1762252385146,2025-11-04 17:33:05,Quang,Lab-301,0.85,72.04,15.74,58.64,476.01,196.88
1762252385231,2025-11-04 17:33:05,Quang,Lab-301,9.30,72.04,15.74,58.64,476.01,196.88
1762252386140,2025-11-04 17:33:06,Quang,Lab-301,1.29,72.02,15.74,58.64,476.01,196.88
1762252386231,2025-11-04 17:33:06,Quang,Lab-301,8.49,72.02,15.74,58.64,476.01,196.88
1762252387149,2025-11-04 17:33:07,Quang,Lab-301,1.49,71.95,15.74,58.64,476.01,196.88
1762252387235,2025-11-04 17:33:07,Quang,Lab-301,11.36,71.95,15.74,58.64,476.01,196.88
1762252388160,2025-11-04 17:33:08,Quang,Lab-301,0.85,71.97,15.74,58.64,476.01,196.88
1762252388242,2025-11-04 17:33:08,Quang,Lab-301,7.15,71.96,15.74,58.64,476.01,196.88
1762252389164,2025-11-04 17:33:09,Quang,Lab-301,1.90,71.88,15.74,58.64,476.01,196.88
1762252389254,2025-11-04 17:33:09,Quang,Lab-301,10.85,71.84,15.74,58.64,476.01,196.88
1762252390170,2025-11-04 17:33:10,Quang,Lab-301,1.92,71.84,15.74,58.64,476.01,196.88
1762252390261,2025-11-04 17:33:10,Quang,Lab-301,8.59,71.84,15.74,58.64,476.01,196.88
1762252391251,2025-11-04 17:33:11,Quang,Lab-301,1.97,71.86,15.74,58.64,476.01,196.88
1762252391353,2025-11-04 17:33:11,Quang,Lab-301,11.38,71.88,15.74,58.64,476.01,196.88
1762252392299,2025-11-04 17:33:12,Quang,Lab-301,2.48,71.96,15.74,58.64,476.01,196.88
1762252392407,2025-11-04 17:33:12,Quang,Lab-301,10.85,71.95,15.74,58.64,476.01,196.88
1762252393281,2025-11-04 17:33:13,Quang,Lab-301,2.01,72.02,15.74,58.64,476.01,196.88
1762252393417,2025-11-04 17:33:13,Quang,Lab-301,11.49,72.03,15.74,58.64,476.01,196.88
1762252394245,2025-11-04 17:33:14,Quang,Lab-301,1.65,72.12,15.74,58.64,476.01,196.88
1762252394336,2025-11-04 17:33:14,Quang,Lab-301,10.73,72.17,15.74,58.64,476.01,196.88
1762252395277,2025-11-04 17:33:15,Quang,Lab-301,1.87,72.52,15.74,58.64,476.01,196.88
1762252395382,2025-11-04 17:33:15,Quang,Lab-301,11.06,72.52,15.74,58.64,476.01,196.88
1762252396251,2025-11-04 17:33:16,Quang,Lab-301,1.57,72.55,15.74,58.64,476.01,196.88
1762252396332,2025-11-04 17:33:16,Quang,Lab-301,12.06,72.53,15.74,58.64,476.01,196.88
1762252397330,2025-11-04 17:33:17,Quang,Lab-301,1.96,72.53,15.74,58.64,476.01,196.88
1762252397456,2025-11-04 17:33:17,Quang,Lab-301,12.40,72.53,15.74,58.64,476.01,196.88
1762252398296,2025-11-04 17:33:18,Quang,Lab-301,1.63,72.53,15.74,58.64,476.01,196.88
1762252398428,2025-11-04 17:33:18,Quang,Lab-301,11.84,72.69,15.74,58.64,476.01,196.88
1762252399296,2025-11-04 17:33:19,Quang,Lab-301,1.58,72.92,15.74,58.64,476.01,196.88
1762252399406,2025-11-04 17:33:19,Quang,Lab-301,12.43,72.89,15.74,58.64,476.01,196.88
1762252400269,2025-11-04 17:33:20,Quang,Lab-301,0.91,72.85,15.74,58.64,476.01,196.88
1762252400360,2025-11-04 17:33:20,Quang,Lab-301,8.59,72.82,15.74,58.64,476.01,196.88
1762252401278,2025-11-04 17:33:21,Quang,Lab-301,1.06,72.79,15.74,58.64,476.01,196.88
1762252401383,2025-11-04 17:33:21,Quang,Lab-301,9.30,72.80,15.74,58.64,476.01,196.88
1762252402282,2025-11-04 17:33:22,Quang,Lab-301,2.17,72.82,15.74,58.64,476.01,196.88
1762252402409,2025-11-04 17:33:22,Quang,Lab-301,6.10,72.82,15.74,58.64,476.01,196.88
1762252403298,2025-11-04 17:33:23,Quang,Lab-301,0.88,72.70,15.74,58.64,476.01,196.88
1762252403418,2025-11-04 17:33:23,Quang,Lab-301,8.07,72.70,15.74,58.64,476.01,196.88
1762252404306,2025-11-04 17:33:24,Quang,Lab-301,1.98,72.69,15.74,58.64,476.01,196.88
1762252404426,2025-11-04 17:33:24,Quang,Lab-301,8.14,72.69,15.74,58.64,476.01,196.88
1762252405310,2025-11-04 17:33:25,Quang,Lab-301,3.09,72.71,15.74,58.64,476.01,196.88
1762252405434,2025-11-04 17:33:25,Quang,Lab-301,7.88,72.76,15.74,58.64,476.01,196.88
1762252406312,2025-11-04 17:33:26,Quang,Lab-301,2.23,72.18,15.74,58.64,476.01,196.88
1762252406438,2025-11-04 17:33:26,Quang,Lab-301,6.15,72.17,15.74,58.64,476.01,196.88
1762252407329,2025-11-04 17:33:27,Quang,Lab-301,2.19,72.15,15.74,58.64,476.01,196.88
1762252407447,2025-11-04 17:33:27,Quang,Lab-301,4.97,72.31,15.74,58.64,476.01,196.88
1762252408338,2025-11-04 17:33:28,Quang,Lab-301,1.97,72.78,15.74,58.64,476.01,196.88
1762252408460,2025-11-04 17:33:28,Quang,Lab-301,6.46,72.81,15.74,58.64,476.01,196.88
1762252409348,2025-11-04 17:33:29,Quang,Lab-301,2.20,72.83,15.74,58.64,476.01,196.88
1762252409489,2025-11-04 17:33:29,Quang,Lab-301,5.54,72.81,15.74,58.64,476.01,196.88
1762252410351,2025-11-04 17:33:30,Quang,Lab-301,1.36,72.97,15.74,58.64,476.01,196.88
1762252410490,2025-11-04 17:33:30,Quang,Lab-301,5.66,72.97,15.74,58.64,476.01,196.88
