Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762330143188,2025-11-05 15:09:03,Quang,Local-Machine,4.15,89.03,15.74,58.73,476.01,196.47
1762330144080,2025-11-05 15:09:04,Quang,Local-Machine,4.16,89.14,15.74,58.73,476.01,196.47
1762330145093,2025-11-05 15:09:05,Quang,Local-Machine,1.74,89.35,15.74,58.73,476.01,196.47
1762330146098,2025-11-05 15:09:06,Quang,Local-Machine,1.75,89.42,15.74,58.73,476.01,196.47
1762330147109,2025-11-05 15:09:07,Quang,Local-Machine,2.13,89.16,15.74,58.73,476.01,196.47
1762330148125,2025-11-05 15:09:08,Quang,Local-Machine,1.15,89.71,15.74,58.73,476.01,196.47
1762330149129,2025-11-05 15:09:09,Quang,Local-Machine,0.97,89.20,15.74,58.73,476.01,196.47
1762330150139,2025-11-05 15:09:10,Quang,Local-Machine,3.09,89.04,15.74,58.73,476.01,196.47
1762330151150,2025-11-05 15:09:11,Quang,Local-Machine,1.16,89.06,15.74,58.73,476.01,196.47
1762330152160,2025-11-05 15:09:12,Quang,Local-Machine,2.51,88.99,15.74,58.73,476.01,196.47
1762330153166,2025-11-05 15:09:13,Quang,Local-Machine,0.97,88.94,15.74,58.73,476.01,196.47
1762330154172,2025-11-05 15:09:14,Quang,Local-Machine,1.16,88.94,15.74,58.73,476.01,196.47
1762330155178,2025-11-05 15:09:15,Quang,Local-Machine,1.94,88.96,15.74,58.73,476.01,196.47
1762330156183,2025-11-05 15:09:16,Quang,Local-Machine,0.78,88.93,15.74,58.73,476.01,196.47
1762330157198,2025-11-05 15:09:17,Quang,Local-Machine,2.89,89.02,15.74,58.73,476.01,196.47
1762330158208,2025-11-05 15:09:18,Quang,Local-Machine,1.93,89.03,15.74,58.73,476.01,196.47
1762330159224,2025-11-05 15:09:19,Quang,Local-Machine,2.89,89.68,15.74,58.73,476.01,196.47
1762330160234,2025-11-05 15:09:20,Quang,Local-Machine,1.55,89.14,15.74,58.73,476.01,196.47
1762330161239,2025-11-05 15:09:21,Quang,Local-Machine,2.33,89.30,15.74,58.73,476.01,196.47
1762330162254,2025-11-05 15:09:22,Quang,Local-Machine,2.31,89.41,15.74,58.73,476.01,196.47
1762330163254,2025-11-05 15:09:23,Quang,Local-Machine,2.15,89.33,15.74,58.73,476.01,196.47
1762330164260,2025-11-05 15:09:24,Quang,Local-Machine,2.13,89.33,15.74,58.73,476.01,196.47
1762330165272,2025-11-05 15:09:25,Quang,Local-Machine,3.28,89.33,15.74,58.73,476.01,196.47
1762330166323,2025-11-05 15:09:26,Quang,Local-Machine,1.49,89.44,15.74,58.73,476.01,196.47
1762330167317,2025-11-05 15:09:27,Quang,Local-Machine,1.18,89.25,15.74,58.73,476.01,196.47
1762330168412,2025-11-05 15:09:28,Quang,Local-Machine,1.78,89.21,15.74,58.73,476.01,196.47
1762330169402,2025-11-05 15:09:29,Quang,Local-Machine,1.97,89.06,15.74,58.73,476.01,196.47
