Timestamp,DateTime,AgentID,Zone,CPU(%),RAM(%),TotalRAM(GB),Disk(%),TotalDisk(GB),FreeDisk(GB)
1762330066995,2025-11-05 15:07:46,Quang,Lab-301,11.40,87.50,15.74,58.73,476.01,196.47
1762330067814,2025-11-05 15:07:47,Quang,Lab-301,2.37,87.66,15.74,58.73,476.01,196.47
1762330068835,2025-11-05 15:07:48,Quang,Lab-301,1.34,87.69,15.74,58.73,476.01,196.47
1762330069838,2025-11-05 15:07:49,Quang,Lab-301,0.78,87.50,15.74,58.73,476.01,196.47
1762330070858,2025-11-05 15:07:50,Quang,Lab-301,3.26,88.32,15.74,58.73,476.01,196.47
1762330071876,2025-11-05 15:07:51,Quang,Lab-301,1.73,88.56,15.74,58.73,476.01,196.47
1762330072906,2025-11-05 15:07:52,Quang,Lab-301,1.14,88.24,15.74,58.73,476.01,196.47
1762330073882,2025-11-05 15:07:53,Quang,Lab-301,1.00,87.61,15.74,58.73,476.01,196.47
1762330074948,2025-11-05 15:07:54,Quang,Lab-301,1.83,87.99,15.74,58.73,476.01,196.47
1762330075964,2025-11-05 15:07:55,Quang,Lab-301,1.73,88.25,15.74,58.73,476.01,196.47
1762330076922,2025-11-05 15:07:56,Quang,Lab-301,1.42,88.24,15.74,58.73,476.01,196.47
1762330077965,2025-11-05 15:07:57,Quang,Lab-301,1.31,88.26,15.74,58.73,476.01,196.47
1762330078943,2025-11-05 15:07:58,Quang,Lab-301,1.39,88.27,15.74,58.73,476.01,196.47
1762330079919,2025-11-05 15:07:59,Quang,Lab-301,1.00,87.99,15.74,58.73,476.01,196.47
1762330081016,2025-11-05 15:08:01,Quang,Lab-301,1.79,88.01,15.74,58.73,476.01,196.47
1762330081979,2025-11-05 15:08:01,Quang,Lab-301,1.42,88.02,15.74,58.73,476.01,196.47
1762330082996,2025-11-05 15:08:02,Quang,Lab-301,1.72,88.10,15.74,58.73,476.01,196.47
1762330083986,2025-11-05 15:08:03,Quang,Lab-301,1.19,88.10,15.74,58.73,476.01,196.47
1762330084987,2025-11-05 15:08:04,Quang,Lab-301,1.17,88.05,15.74,58.73,476.01,196.47
1762330085993,2025-11-05 15:08:05,Quang,Lab-301,1.17,88.02,15.74,58.73,476.01,196.47
1762330086998,2025-11-05 15:08:06,Quang,Lab-301,1.36,87.97,15.74,58.73,476.01,196.47
1762330087999,2025-11-05 15:08:07,Quang,Lab-301,1.17,88.37,15.74,58.73,476.01,196.47
1762330088983,2025-11-05 15:08:08,Quang,Lab-301,0.79,88.65,15.74,58.73,476.01,196.47
1762330089993,2025-11-05 15:08:09,Quang,Lab-301,1.35,88.54,15.74,58.73,476.01,196.47
